customer_unique_id,recency,frequency,monetary,avg_order_value,avg_review_score,avg_delivery_days,cluster,pca_1,pca_2,cluster_name
0000366f3b9a7992bf8c76cfdf3221e2,116,1,141.9,141.9,5.0,4.0,3,0.2803693914573374,1.0760531401444466,Khách hàng tiềm năng
0000b849f77a49e4a4ce2b2a4ca5be3f,119,1,27.19,27.19,4.0,1.0,0,-2.484373295663996,0.32214659777119026,Khách hàng giá trị thấp
0000f46a3911fa3c0805444483337064,542,1,86.22,86.22,3.0,23.0,1,-0.045122372862437345,-2.2000837461673397,Khách hàng ít hoạt động
0000f6ccb0745a6a4b88665a16c9f078,326,1,43.62,43.62,4.0,19.0,0,-1.3483961327334573,-1.248983280548259,Khách hàng giá trị thấp
0004aac84e0df4da2b147fca70cf8255,293,1,196.89,196.89,5.0,11.0,3,0.9756517796459001,0.3607142614418525,Khách hàng tiềm năng
0004bd2a26a76fe21f786e4fbd80607f,151,1,166.98,166.98,4.0,0.0,3,0.55553299299424,0.8702843940523866,Khách hàng tiềm năng
00050ab1314c0e55a6ca13cf7181fecf,136,1,35.379999999999995,35.379999999999995,4.0,1.0,0,-2.047027915314192,0.3704953545276868,Khách hàng giá trị thấp
00053a61a98854899e70ed204dd4bafe,187,1,419.18,209.59,1.0,14.0,1,2.0158187962559286,-1.6225865384805298,Khách hàng ít hoạt động
0005e1862207bf6ccc02e4228effd9a0,548,1,150.12,150.12,4.0,3.0,3,0.4386412532548229,0.0025951661083982373,Khách hàng tiềm năng
0005ef4cd20d2893f0d9fbd94d3c0d97,175,1,129.76,129.76,1.0,52.0,1,1.3477448358184427,-4.77714237101523,Khách hàng ít hoạt động
0006fdc98a402fceb4eb0ee528f6a8d4,412,1,29.0,29.0,3.0,13.0,0,-2.068116019455758,-1.5408486202896172,Khách hàng giá trị thấp
00082cbe03e478190aadbea78542e933,288,1,126.26,126.26,5.0,7.0,3,0.14226331907705306,0.548494815226877,Khách hàng tiềm năng
00090324bbad0e9342388303bb71ba0a,163,1,63.66,63.66,5.0,13.0,0,-0.9049440875061926,0.07885821451943385,Khách hàng giá trị thấp
000949456b182f53c18b68d6babc79c1,133,1,82.05,82.05,4.0,5.0,0,-0.5558502392725947,0.30671737647111474,Khách hàng giá trị thấp
000a5ad9c4601d2bbdd9ed765d5213b3,388,1,91.28,91.28,4.0,8.0,0,-0.31332747227256436,-0.28295947890531203,Khách hàng giá trị thấp
000bfa1d2f1a41876493be685390d6d3,339,1,93.7,46.85,4.5,13.0,0,-0.8068275550798347,-0.43117780129585354,Khách hàng giá trị thấp
000c8bdb58a29e7115cfc257230fb21b,265,1,29.0,29.0,5.0,11.0,0,-2.257546545960811,-0.14594052975791624,Khách hàng giá trị thấp
000d460961d6dbfa3ec6c9f5805769e1,239,1,36.68,36.68,5.0,1.0,0,-2.059373482239368,0.731864288892454,Khách hàng giá trị thấp
000de6019bb59f34c099a907c151d855,382,1,257.44,128.72,2.0,3.0,1,0.9021678373374181,-0.7040737872058238,Khách hàng ít hoạt động
000e309254ab1fc5ba99dd469d36bdb4,70,1,156.84,78.42,3.0,6.0,0,0.037373890728323055,-0.09489472212643246,Khách hàng giá trị thấp
