order_month,customer_state,product_category_name,payment_type,cuboid_level,support_count,order_count,total_sales,avg_review_score,avg_delivery_days
ALL,ALL,ALL,ALL,0,118310,98666,16643731.300000003,4.039396500718452,8.714318316287718
ALL,ALL,ALL,credit_card,1,87258,75991,12776455.360000001,4.0410506773017945,8.736436773705563
ALL,SP,ALL,ALL,1,49865,41375,6234533.819999999,4.132778501955279,5.120766068384638
ALL,ALL,ALL,boleto,1,23018,19614,2859446.84,4.0324528629768,8.692805630376228
ALL,RJ,ALL,ALL,1,15425,12762,2247128.32,3.8289789303079416,11.25322528363047
ALL,MG,ALL,ALL,1,13718,11544,1928571.0900000003,4.0930164747047675,8.238081352966905
ALL,ALL,cama_mesa_banho,ALL,1,11988,9417,1327662.0199999998,3.9036536536536537,9.149232565899233
ALL,ALL,beleza_saude,ALL,1,10032,8836,1491397.7599999998,4.144338118022328,8.439194577352472
2017-11,ALL,ALL,ALL,1,9096,7451,1232074.3,3.8530123131046614,10.248900615655232
ALL,ALL,esporte_lazer,ALL,1,9004,7720,1205197.85,4.1136161705908485,8.829742336739226
ALL,ALL,moveis_decoracao,ALL,1,8832,6449,955367.22,3.9231204710144927,8.589221014492754
2018-01,ALL,ALL,ALL,1,8603,7220,1158742.84,3.954434499593165,9.80785772404975
2018-03,ALL,ALL,ALL,1,8592,7188,1209080.3000000003,3.7108938547486034,11.96869180633147
2018-04,ALL,ALL,ALL,1,8272,6934,1201102.21,4.086436170212766,8.01063829787234
2018-05,ALL,ALL,ALL,1,8231,6853,1193204.9799999997,4.137771838172761,8.32948608917507
ALL,ALL,informatica_acessorios,ALL,1,8150,6689,1104362.03,3.9419631901840493,9.051042944785276
2018-02,ALL,ALL,ALL,1,8022,6694,1039011.6499999999,3.755796559461481,12.55796559461481
2018-08,ALL,ALL,ALL,1,7464,6452,1038395.74,4.217443729903537,4.854769560557342
2018-06,ALL,ALL,ALL,1,7396,6160,1075753.44,4.193482963764197,6.236479177934019
ALL,ALL,utilidades_domesticas,ALL,1,7380,5884,823623.5,4.066666666666666,7.459756097560976
2018-07,ALL,ALL,ALL,1,7356,6273,1097939.54,4.232327351821642,5.723355084284938
2017-12,ALL,ALL,ALL,1,6593,5624,898427.9199999999,3.9622326710147124,10.911876232367662
ALL,RS,ALL,ALL,1,6538,5432,934286.75,4.042367696543286,11.391098195166718
ALL,ALL,ALL,voucher,1,6332,3766,791647.5599999999,4.011054958938724,8.86465571699305
ALL,ALL,relogios_presentes,ALL,1,6213,5624,1358845.5899999999,4.0259134073716405,9.332367616288428
